CTA,appears_on_pages,destinations,frequency
1,/open-abia-2,,1
2,/open-abia-2,,1
3,/open-abia-2,,1
emergency_home Emergency,/aba-20,,1
Citizen Portal,/aba-20; /agri-transformation; /ai-academy; /ai-academy-2; /border-trade-logistics; /border-trade-logistics-2; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /commerce-trade; /connect-abia; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /employer-portal; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /jobs-abia; /legal-institutional-registry; /legal-institutional-registry-2; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,,56
forum Citizen Feedback,/aba-20,,1
Economy,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /emergency-crisis-response; /employer-portal; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /serve-abia-3; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/economic-transformation,54
Digital Gov,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /serve-abia-3; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/serve-abia,53
Governance,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /commerce-trade-2; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /education-learning-2; /emergency-crisis-response; /employer-portal; /environment-sustainability; /environment-sustainability-2; /gada; /governors-command-center; /health-wellness; /health-wellness-2; /home-variant; /housing-urban-development; /housing-urban-development-2; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-agriculture-2; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /science-technology-2; /secure-abia; /secure-abia-3; /serve-abia-2; /serve-abia-3; /social-welfare; /social-welfare-2; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /tourism-culture-2; /transparent-governance; /transparent-governance-2; /transport-mobility; /transport-mobility-2; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/local-governance,67
Security,/aba-20; /agri-transformation; /ai-academy; /border-trade-logistics; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation; /economic-transformation-2; /education-learning; /emergency-crisis-response; /employer-portal; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /industrial-hubs; /invest-abia; /invest-in-aba; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /open-abia; /open-abia-2; /; /procurement-tenders-registry; /public-reporting; /science-technology; /secure-abia; /serve-abia-2; /serve-abia-3; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transparent-governance-2; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /youth-sports,/secure-abia,55
payments Economic Transformation,/aba-20; /agri-transformation; /ai-academy; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /cooperatives-micro-credit; /digital-archives-heritage; /economic-transformation; /environment-sustainability; /home-variant; /industrial-hubs; /invest-abia; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /open-abia; /open-abia-2; /serve-abia-2; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /tourism-culture; /transparent-governance-2; /transport-mobility; /water-resources-irrigation; /youth-sports,/economic-transformation,30
account_balance Digital Government,/aba-20; /agri-transformation; /ai-academy; /build-abia; /citizen-consultations; /citizen-identity-civil-registry; /civil-service-portal-2; /cooperatives-micro-credit; /digital-archives-heritage; /economic-transformation; /environment-sustainability; /home-variant; /industrial-hubs; /invest-abia; /land-property; /legal-institutional-registry; /legal-institutional-registry-2; /local-governance; /mda-performance; /open-abia; /open-abia-2; /serve-abia-2; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /tourism-culture; /transparent-governance-2; /transport-mobility; /water-resources-irrigation; /youth-sports,/serve-abia,30
mitre Transparent Governance,/aba-20; /agri-transformation; /citizen-identity-civil-registry; /civil-service-portal-2; /digital-archives-heritage; /environment-sustainability; /home-variant; /legal-institutional-registry-2; /local-governance; /mda-performance; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /transport-mobility; /water-resources-irrigation; /youth-sports,/local-governance,16
security Public Trust,/aba-20; /agri-transformation; /citizen-identity-civil-registry; /civil-service-portal-2; /cooperatives-micro-credit; /digital-archives-heritage; /digital-archives-heritage-2; /environment-sustainability; /home-variant; /legal-institutional-registry-2; /local-governance; /mda-performance; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /tourism-culture; /transparent-governance; /transport-mobility; /water-resources-irrigation; /youth-sports,/secure-abia,20
Invest Abia,/aba-20; /border-trade-logistics; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /environment-sustainability-2; /gada; /health-wellness; /home-variant; /housing-urban-development; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /science-technology; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/invest-in-aba,40
Serve Abia,/aba-20; /ai-academy-2; /border-trade-logistics; /border-trade-logistics-2; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /connect-abia; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /jobs-abia; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /science-technology; /serve-abia; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/serve-abia,44
Build Abia,/aba-20; /border-trade-logistics; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /science-technology; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/build-abia,39
Open Abia,/aba-20; /border-trade-logistics; /citizen-identity-civil-registry; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /economic-transformation-2; /education-learning; /emergency-crisis-response; /environment-sustainability; /gada; /health-wellness; /home-variant; /housing-urban-development; /legal-institutional-registry-2; /local-governance; /mda-performance; /ministry-of-agriculture; /ministry-of-communication-2; /ministry-of-health-2; /news-press-center; /procurement-tenders-registry; /serve-abia-3; /sme-growth-support; /social-welfare; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transparent-governance; /transport-mobility; /utilities-environment; /water-resources-irrigation; /women-gender-affairs; /women-gender-affairs-2; /youth-sports,/open-abia,38
Town Hall,/aba-20,/citizen-consultations,1
notifications,/aba-20-mobile; /civil-service-mobile; /civil-service-portal; /cooperatives-micro-credit-2; /digital-archives-heritage-mobile; /emergency-response; /environment-sustainability-mobile; /gada-mobile; /gada-mobile-2; /governors-command-center; /governors-command-center-mobile; /invest-abia-mobile; /legal-institutional-registry-mobile; /local-governance; /ministry-of-agriculture-2; /ministry-of-agriculture-mobile; /ministry-of-communication; /ministry-of-education-mobile; /ministry-of-health; /ministry-of-health-mobile-2; /open-abia-mobile; /secure-abia-mobile; /tourism-culture-mobile; /trade-logistics-mobile; /transport-mobility-hub-mobile; /transport-mobility-mobile; /women-gender-affairs-mobile,,27
Fullscreen open_in_full,/aba-20-mobile,,1
add,/aba-20-mobile; /connect-abia-mobile; /cooperatives-micro-credit-mobile; /emergency-crisis-response; /environment-sustainability; /greater-aba-development-authority; /housing-urban-development-2; /invest-in-aba; /ministry-of-agriculture-3; /ministry-of-agriculture-mobile; /secure-abia-2; /utilities-environment; /women-gender-affairs-mobile,,14
remove,/aba-20-mobile; /emergency-crisis-response; /environment-sustainability; /housing-urban-development-2; /secure-abia-2; /utilities-environment,,6
Verify Ownership arrow_forward,/aba-20-mobile,,1
add_a_photo,/aba-20-mobile; /gada-mobile-2,,2
dashboard Dashboard,/aba-20-mobile; /build-abia-mobile; /citizen-identity-mobile; /civil-service-mobile; /civil-service-portal; /commerce-trade-2; /connect-abia-mobile; /cooperatives-micro-credit-2; /cooperatives-micro-credit-mobile; /digital-archives-heritage-mobile; /education-learning-2; /gada-mobile; /gada-mobile-2; /governors-command-center; /governors-command-center-mobile; /home-mobile; /housing-urban-development-2; /invest-abia-mobile; /jobs-abia-mobile; /legal-institutional-registry-mobile; /ministry-of-agriculture-2; /ministry-of-agriculture-mobile; /ministry-of-agriculture-mobile-2; /ministry-of-education-mobile; /ministry-of-health-mobile; /ministry-of-health-mobile-2; /open-abia-mobile; /science-technology-2; /secure-abia-mobile; /secure-abia-mobile-2; /serve-abia-mobile; /social-welfare-2; /tourism-culture-mobile; /trade-logistics-mobile; /transport-mobility-2; /transport-mobility-hub-mobile; /water-resources-irrigation-2; /women-gender-affairs-mobile,/home-mobile; /,38
notifications_active Alerts,/aba-20-mobile; /gada-mobile; /gada-mobile-2; /home-mobile; /invest-abia-mobile; /ministry-of-education-mobile; /ministry-of-health-mobile; /secure-abia-mobile; /tourism-culture-mobile,,9
grid_view Hub,/aba-20-mobile; /gada-mobile; /gada-mobile-2; /invest-abia-mobile; /ministry-of-education-mobile; /secure-abia-mobile; /tourism-culture-mobile,,7
person Profile,/aba-20-mobile; /civil-service-portal-2; /gada-mobile; /gada-mobile-2; /home-mobile; /invest-abia-mobile; /ministry-of-education-mobile; /ministry-of-health-mobile; /secure-abia-mobile; /serve-abia; /serve-abia-3; /tourism-culture-mobile,,12
Emergency,/agri-transformation; /border-trade-logistics; /civil-service-portal-2; /commerce-trade; /cooperatives-micro-credit; /diaspora-gateway; /digital-archives-heritage; /digital-archives-heritage-2; /education-learning; /environment-sustainability; /health-wellness; /mda-performance; /ministry-of-communication-2; /news-press-center; /science-technology; /sme-growth-support; /sovereign-fund-investment-portfolio; /tourism-culture; /transport-mobility; /women-gender-affairs; /youth-sports,,21
Citizen Feedback,/agri-transformation; /citizen-identity-civil-registry; /civil-service-portal-2; /digital-archives-heritage; /economic-transformation-2; /environment-sustainability; /home-variant; /legal-institutional-registry-2; /mda-performance; /procurement-tenders-registry; /sovereign-fund-investment-portfolio; /state-archives; /tourism-culture; /transport-mobility; /water-resources-irrigation; /women-gender-affairs,,16
View Export Ledgers,/agri-transformation,,1
Agriculture,/agri-transformation; /tourism-culture-2,/ministry-of-agriculture,2
Education,/agri-transformation; /serve-abia-2; /serve-abia-3,/education-learning,3
Health,/agri-transformation; /serve-abia-2; /serve-abia-3,/ministry-of-health,3
Budget,/agri-transformation; /tourism-culture-2,/open-abia,2
Launch Service,/ai-academy; /build-abia; /citizen-consultations; /economic-transformation; /employer-portal; /invest-abia; /land-property; /legal-institutional-registry; /open-abia; /secure-abia,,10
View All Courses,/ai-academy,,1
All,/ai-academy,,1
Foundation,/ai-academy,,1
Specialist,/ai-academy,,1
Advanced,/ai-academy,,1
Enroll Now,/ai-academy; /social-welfare-2,,7
chat_bubble,/ai-academy; /environment-sustainability; /social-welfare,,3
gavel Transparent Governance,/ai-academy; /build-abia; /citizen-consultations; /economic-transformation; /industrial-hubs; /invest-abia; /land-property; /legal-institutional-registry; /open-abia; /open-abia-2; /serve-abia-2; /transparent-governance-2,/local-governance,12
Browse Catalog arrow_forward,/ai-academy-2,,1
Watch Success Stories,/ai-academy-2,,1
Go to Dashboard chevron_right,/ai-academy-2,,1
Resume Learning,/ai-academy-2,,1
Course Details,/ai-academy-2,,1
Apply Now,/ai-academy-2; /housing-urban-development; /jobs-abia; /utilities-environment,,6
Download Prospectus,/ai-academy-2; /invest-abia-mobile,,2
Jobs Abia,/ai-academy-2; /border-trade-logistics-2; /connect-abia; /jobs-abia; /serve-abia,/jobs-abia,6
AI Academy,/ai-academy-2; /border-trade-logistics-2; /connect-abia; /jobs-abia; /serve-abia,/ai-academy,5
Connect Abia,/ai-academy-2; /border-trade-logistics-2; /connect-abia; /jobs-abia; /serve-abia,/connect-abia,5
Data Science,/ai-academy-2,/science-technology,1
Institutional News,/ai-academy-2; /border-trade-logistics-2; /connect-abia; /jobs-abia; /serve-abia,/news-press-center,5
Open Data Initiative,/ai-academy-2,/open-abia,1
emergency_share,/ai-academy-mobile; /connect-abia-mobile; /home-mobile; /jobs-abia-mobile; /ministry-of-agriculture-mobile-2; /ministry-of-health-mobile; /serve-abia-mobile,,7
Resume Learning play_circle,/ai-academy-mobile,,1
All Paths,/ai-academy-mobile,,1
Public Ops,/ai-academy-mobile,,1
Dev Tools,/ai-academy-mobile,,1
Strategy,/ai-academy-mobile,,1
download Export Trade Data,/border-trade-logistics,,1
add_circle New Trade Agreement,/border-trade-logistics,,1
Verify Physical Permit QR,/border-trade-logistics,,1
filter_list,/border-trade-logistics; /gada; /housing-urban-development; /open-abia; /state-archives; /water-resources-irrigation-2,,6
View MOU,/border-trade-logistics,,2
Review Terms,/border-trade-logistics,,1
analytics Live Trade Dashboard,/border-trade-logistics-2,,1
Facilitation Guide,/border-trade-logistics-2,,1
Access Portal,/border-trade-logistics-2,,1
Facility Details arrow_forward,/border-trade-logistics-2,,1
Sensor Network Log,/border-trade-logistics-2,,1
Investment Gateway,/border-trade-logistics-2,/invest-in-aba,1
Trade Inquiries,/border-trade-logistics-2,/economic-transformation,1
All Regions,/build-abia,,1
Umuahia,/build-abia,,1
Aba,/build-abia,,1
Ohafia,/build-abia,,1
View Full Archive,/build-abia,,1
add_a_photo Report Project Progress,/build-abia-mobile,,1
Join Active Consultation arrow_forward,/citizen-consultations,,1
View Policy Archive,/citizen-consultations,,1
JOIN SESSION play_circle,/citizen-consultations,,1
SET REMINDER notifications,/citizen-consultations,,1
SUBMIT TO GOVERNANCE HUB,/citizen-consultations,,1
TAKE SURVEY,/citizen-consultations,,2
emergency_home Emergency,/citizen-identity-civil-registry,,1
download Download e-ID,/citizen-identity-civil-registry,,1
Renew Residency,/citizen-identity-civil-registry,,1
Re-Verify Identity,/citizen-identity-civil-registry,,1
View All Records,/citizen-identity-civil-registry,,1
add_circle Register Birth,/citizen-identity-civil-registry,,1
history_edu File Death Report,/citizen-identity-civil-registry,,1
home Home,/citizen-identity-civil-registry; /civil-service-portal-2; /serve-abia; /women-gender-affairs-2,/,4
badge Identity,/citizen-identity-civil-registry,/citizen-identity-civil-registry,1
RE-VERIFY,/citizen-identity-mobile,,1
campaign COMPOSE BROADCAST,/civil-service-mobile,,1
View All chevron_right,/civil-service-mobile,,1
close,/civil-service-mobile,,2
check,/civil-service-mobile,,2
Update Bio-Data,/civil-service-portal,,1
View All Payslips arrow_forward,/civil-service-portal,,1
download,/civil-service-portal; /digital-archives-heritage-2; /housing-urban-development; /legal-institutional-registry-2,,9
add Apply for Leave,/civil-service-portal,,1
View History,/civil-service-portal; /serve-abia-3,,2
Continue Learning,/civil-service-portal; /civil-service-portal-2,,2
Open Bulletin Board,/civil-service-portal,,1
school AI Academy,/civil-service-portal,/ai-academy,1
Press Office,/civil-service-portal; /commerce-trade-2; /cooperatives-micro-credit-2; /education-learning-2; /environment-sustainability-2; /governors-command-center; /health-wellness-2; /housing-urban-development-2; /ministry-of-agriculture-2; /science-technology-2; /secure-abia-3; /social-welfare-2; /tourism-culture-2; /transport-mobility-2; /water-resources-irrigation-2,/news-press-center,15
Read Full Dispatch arrow_forward,/civil-service-portal-2,,1
download Export Service Record,/civil-service-portal-2,,1
Detailed Appraisal History open_in_new,/civil-service-portal-2,,1
dashboard Portal,/civil-service-portal-2,,1
history_edu Records,/civil-service-portal-2,,1
feedback Citizen Feedback,/commerce-trade; /housing-urban-development; /utilities-environment; /women-gender-affairs-2,,4
Enter Market arrow_forward,/commerce-trade,,1
Apply for New License,/commerce-trade,,1
Active Shipments,/commerce-trade,,1
Completed,/commerce-trade,,1
Investment Guide,/commerce-trade; /ministry-of-agriculture-2,/invest-in-aba,2
Virtual Tour,/commerce-trade,,1
shopping_cart,/commerce-trade,,1
Sign In,/commerce-trade-2; /education-learning-2; /environment-sustainability-2; /health-wellness-2; /housing-urban-development-2; /ministry-of-agriculture-2; /science-technology-2; /secure-abia-3; /social-welfare-2; /tourism-culture-2; /transport-mobility-2,,11
Export Report,/commerce-trade-2,,1
Explore Opportunities trending_up,/commerce-trade-2,,1
Apply for Grant,/commerce-trade-2,,1
filter_list Filter Hubs,/commerce-trade-2,,1
map View Grid,/commerce-trade-2,,1
Read Whitepaper,/commerce-trade-2,,1
Invest,/commerce-trade-2; /cooperatives-micro-credit-2; /education-learning-2; /environment-sustainability-2; /governors-command-center; /health-wellness-2; /housing-urban-development-2; /ministry-of-agriculture-2; /science-technology-2; /secure-abia-3; /social-welfare-2; /tourism-culture-2; /transport-mobility-2,/invest-in-aba,14
Jobs,/commerce-trade-2; /cooperatives-micro-credit-2; /education-learning-2; /employer-portal; /environment-sustainability-2; /governors-command-center; /health-wellness-2; /housing-urban-development-2; /ministry-of-agriculture-2; /science-technology-2; /secure-abia-3; /social-welfare-2; /tourism-culture-2; /transport-mobility-2,/jobs-abia,15
Serve,/commerce-trade-2; /cooperatives-micro-credit-2; /education-learning-2; /environment-sustainability-2; /governors-command-center; /health-wellness-2; /housing-urban-development-2; /ministry-of-agriculture-2; /science-technology-2; /secure-abia-3; /social-welfare-2; /tourism-culture-2; /transport-mobility-2,/serve-abia,13
Share Feedback send,/connect-abia,,1
View Updates,/connect-abia,,1
View Newsroom arrow_forward,/connect-abia,,1
Set Reminder notifications,/connect-abia,,1
Register edit_square,/connect-abia,,2
Public Transportation Vote,/connect-abia,,1
Land Tiling &amp; Registry Vote,/connect-abia,,1
Waste Management Vote,/connect-abia,,1
Submit Message,/connect-abia,,1
apps Download on the App Store,/connect-abia,,1
play_arrow Get it on Google Play,/connect-abia,,1
Join,/connect-abia; /sovereign-fund-investment-portfolio; /women-gender-affairs,,3
Join Stream,/connect-abia-mobile,,1
See All arrow_forward,/connect-abia-mobile,,1
Expand Aba-Port Harcourt Link check_circle,/connect-abia-mobile,,1
New Umuahia City Shuttles check_circle,/connect-abia-mobile,,1
thumb_up 842,/connect-abia-mobile,,1
chat_bubble 124,/connect-abia-mobile,,1
share,/connect-abia-mobile; /ministry-of-communication,,2
chat_bubble Citizen Feedback,/cooperatives-micro-credit,,1
Begin Registration Process arrow_forward,/cooperatives-micro-credit,,1
send Submit Application,/cooperatives-micro-credit,,1
Schedule,/cooperatives-micro-credit,,1
language,/cooperatives-micro-credit-2; /governors-command-center; /ministry-of-agriculture-2,,3
Apply for Credit,/cooperatives-micro-credit-2,,1
filter_list Filter LGAs,/cooperatives-micro-credit-2,,1
"View All 1,248 Registered Cooperatives",/cooperatives-micro-credit-2,,1
app_registration Register Cooperative Formalize your union chevron_right,/cooperatives-micro-credit-2,,1
account_balance Apply for Micro-Loan Capital for MSMEs chevron_right,/cooperatives-micro-credit-2,,1
add Apply Now,/cooperatives-micro-credit-2,,1
security Security,/cooperatives-micro-credit-2; /governors-command-center; /science-technology-2; /social-welfare-2; /water-resources-irrigation-2,/secure-abia,5
search,/cooperatives-micro-credit-mobile; /gada-mobile; /housing-urban-development; /housing-urban-development-2; /ministry-of-education-mobile; /transparent-governance; /water-resources-irrigation-2,,7
Pay Now,/cooperatives-micro-credit-mobile,,1
View All,/cooperatives-micro-credit-mobile; /employer-portal,,2
chat Citizen Feedback,/diaspora-gateway,,1
trending_up Invest Now,/diaspora-gateway,,1
View Bond Prospectus,/diaspora-gateway,,1
Details,/diaspora-gateway,,1
Read Full Case Study,/diaspora-gateway,,3
support_agent Request Concierge Consult,/diaspora-gateway,,1
home HOME,/diaspora-gateway,,1
account_balance_wallet INVEST,/diaspora-gateway,,1
person PROFILE,/diaspora-gateway,,1
dashboard Overview,/diaspora-gateway; /housing-urban-development,/,2
security Security Trust,/diaspora-gateway,/secure-abia,1
Invest chevron_right,/diaspora-gateway,/invest-in-aba,2
Start Exploring,/digital-archives-heritage,,1
Submit Archive,/digital-archives-heritage,,1
BROWSE ARCHIVE,/digital-archives-heritage,,1
LISTEN NOW,/digital-archives-heritage,,1
visibility VIEW FULL DOCUMENT,/digital-archives-heritage,,1
download DOWNLOAD PDF (2.4MB),/digital-archives-heritage,,1
history_edu Citizen Feedback,/digital-archives-heritage-2,,1
Begin Deep Dive,/digital-archives-heritage-2,,1
Access Vault,/digital-archives-heritage-2,,1
open_in_new,/digital-archives-heritage-2; /live-incident-feed,,2
visibility,/digital-archives-heritage-2; /ministry-of-agriculture-mobile; /ministry-of-communication; /transparent-governance-2,,9
Submit Records,/digital-archives-heritage-2,,1
View All Galleries arrow_forward,/digital-archives-heritage-2,,1
Listen Now arrow_forward,/digital-archives-heritage-mobile,,1
View Gallery,/digital-archives-heritage-mobile; /state-archives,,2
